"cikkszam","megnevezes","szin","osztaly","meret","indulo_keszlet"
15636,"Szoknya","lila","1","S",8
15636,"Szoknya","barna","1","S",5
15636,"Szoknya","szürke","1","S",6
15636,"Szoknya","fekete","1","S",9
15638,"Szoknya","fekete/piros","1","S",1
15638,"Szoknya","fekete/sárga","1","S",1
15638,"Szoknya","f.kék/v.kék","1","S",4
15638,"Szoknya","k.kék/fekete","1","S",4
15638,"Szoknya","s.kék/v.kék","1","S",8
15639,"Ruha","v.kék","1","S",5
15639,"Ruha","k.kék","1","S",1
15639,"Ruha","s.kék","1","S",10
15639,"Ruha","s.barna","1","S",5
15639,"Ruha","narancs","1","S",12
15639,"Ruha","k.szürke","1","S",5
15639,"Ruha","mogyoró","1","S",2
15639,"Ruha","k.kék","1","S",1
15640,"Szoknya","sárga/barna","1","S",1
15640,"Szoknya","kék/s.kék","1","S",2
15641,"Szoknya","sárga/barna","1","S",2
15641,"Szoknya","kék/s.kék","1","S",2
15642,"Szoknya","kék/f.kék","1","S",1
15642,"Szoknya","piros/fekete","1","S",1
15642,"Szoknya","s.kék/k.kék","1","S",2
15643,"Szoknya","sárga/barna","1","S",1
15643,"Szoknya","kék/s.kék","1","S",3
15644,"Szoknya","sárga/barna","1","S",1
15644,"Szoknya","kék/s.kék","1","S",2
15644,"Szoknya","piros/fekete","1","S",1
15644,"Szoknya","s.szürke/v.szürke","1","S",4
15644,"Szoknya","kék/bordó","1","S",4
15644,"Szoknya","barna/narancs","1","S",4
15655,"Pulóver","k.kék (farmer)","1","S",2
15655,"Pulóver","s.zöld","1","S",1
15655,"F.Pulóver","v.kék","1","S",10
15655,"F.Pulóver","zöld","1","S",3
15655,"F.Pulóver","barna","1","S",6
15655,"F.Pulóver","v.kék","1","S",2
15655,"F.Pulóver","k.kék","1","S",19
15657,"Póló","s.kék","1","S",3
15657,"Póló","beige","1","S",2
15657,"Póló","kék/szürke-piros-fehér","1","S",4
15675,"N.Póló","zöld","1","S",12
15675,"Top","rózsa","1","S",5
15675,"Top","sárga","1","S",3
15675,"Póló","rózsa","1","S",5
15677,"Ruha","narancs","1","S",8
15677,"Ruha","zöld","1","S",5
15677,"N.Ruha","zöld","1","S",1
15678,"Top","v.kék","1","S",1
15678,"Top","narancs","1","S",1
15678,"Top","s.barna csíkos","1","S",2
15678,"Top","v.barna síkos","1","S",2
15678,"Top","piros","1","S",2
15678,"Top","fehér","1","S",2
15680,"Pulóver SF","s.szürke","1","S",5
15680,"Pulóver SF","s.kék (antra)","1","S",2
15680,"F.Pulóver","v.kék","1","S",2
15680,"F.Pulóver","s.kék","1","S",1
15681,"F.Pulóver","v.kék","1","S",1
15681,"F.Pulóver","szürke","1","S",2
15681,"F.Pulóver","kék","1","S",1
15681,"F.Pulóver","szürke","1","S",4
15683,"Ruha","kék/bordó","1","S",2
15683,"Ruha","szürke/kék","1","S",2
15683,"Ruha","barna/narancs","1","S",2
15683,"Ruha","kék/bordó","1","S",6
15683,"Ruha","szürke/kék","1","S",5
15683,"Ruha","barna/narancs","1","S",6
15685,"N.Pulóver","bordó","1","S",10
15685,"N.Pulóver","zöld","1","S",5
15685,"N.Pulóver","s.kék","1","S",10
15685,"N.Pulóver","fehér","1","S",8
15685,"N.Pulóver","szürke","1","S",5
15693,"N.Pulóver","türkiz","1","S",1
15693,"N.Pulóver","piros","1","S",1
15693,"N.Pulóver","s.kék","1","S",10
15693,"N.Pulóver","piros","1","S",6
15693,"N.Pulóver","szürke","1","S",7
15693,"N.Pulóver","s.kék","1","S",6
15694,"N.Pulóver","zöld","1","S",5
15694,"N.Pulóver","s.kék","1","S",4
15694,"N.Pulóver","barna","1","S",5
15695,"N.Pulóver","ecrü","1","S",1
15695,"N.Pulóver","zöld","1","S",5
15695,"N.Pulóver","narancs","1","S",5
15695,"N.Pulóver","türkiz","1","S",5
15695,"N.Pulóver","bordó","1","S",9
15695,"N.Pulóver","piros","1","S",5
15695,"N.Pulóver","fehér/szürke/fekete/lila","1","S",1
15695,"N.Pulóver","ecrü","1","S",3
15695,"N.Pulóver","s.kék","1","S",9
15695,"N.Pulóver","szürke","1","S",3
15696,"F.Pulóver","s.barna/narancs","1","S",4
15696,"F.Pulóver","v.kék/s.szürke","1","S",4
15696,"F.Pulóver","v.kék/türkiz","1","S",4
15697,"Pulóver","barna/narancs","1","S",1
15697,"F.Pulóver","kék/szürke","1","S",4
15697,"F.Pulóver","barna/narancs","1","S",3
15697,"F.Pulóver","kék","1","S",5
15718,"F.Pulóver","v.kék","1","S",5
15720,"Szoknya T.D.","barna","1","S",3
15720,"Szoknya T.D.","kék","1","S",3
15720,"Szoknya T.D.","s.barna","1","S",2
15720,"Szoknya T.D.","s.barna","1","S",2
15720,"Szoknya T.D.","s.kék","1","S",2
15721,"Garbó T.D.","s.barna/v.barna","1","S",5
15721,"Garbó T.D.","s.kék/v.szürke","1","S",4
15721,"Garbó T.D.","s.kék/v.szürke","1","S",1
15723,"Ruha T.D.","k.kék","1","S",3
15723,"Ruha T.D.","barna","1","S",3
15723,"Ruha T.D.","k.kék","1","S",2
15723,"Ruha T.D.","v.barna","1","S",2
19028,"Szoknya","piros/fehér","1","S",1
19028,"Szoknya","kék/fehér","1","S",5
19030,"Top","piros/fehér","1","S",3
19030,"Top","kék/fehér","1","S",3
19031,"Szoknya","piros","1","S",2
47056,"Póló","barna","1","S",4
70511,"Kabát Z.K.","s.kék","1","S",1
73312,"Kabátka Z.K.","szürke","1","S",5
74248,"Pulóver","fehér","1","S",3
74555,"Szoknya","fehér","1","S",3
74712,"Kabátka Z.K.","fehér","1","S",1
74757,"Pulóver Z.K.","fehér","1","S",9
74860,"Pulóver Z.K.","fehér/kék","1","S",2
76792,"Pulóver Z.K.","fehér/szürke/fekete/lila","1","S",5
14649,"N.Pulóver","barna","1","M",1
14990,"Pulóver","bordó","1","M",3
14990,"Pulóver","fekete","1","M",1
15000,"Pulóver","farmer betétes","1","M",1
15068,"F.Pulóver","v.szürke","1","M",1
15098,"Pulóver","rombusz","1","M",3
15103,"Ruha","s.kék","1","M",6
15103,"Ruha","ecrü","1","M",7
15103,"Ruha","bordó","1","M",7
15107,"Top","fehér","1","M",4
15109,"F.Pulóver","fehér","1","M",1
15126,"Ruha","fehér","1","M",7
15134,"Pulóver","barna mintás","1","M",1
15172,"Mellény","fekete","1","M",4
15189,"Pulóver","s.szürke/v.kék","1","M",2
15189,"Pulóver","v.barna/v.kék","1","M",1
15189,"Pulóver","barna,beige","1","M",2
15190,"Pulóver","fekete/fehér","1","M",1
15191,"Pulóver","fekete","1","M",3
15207,"Kardigán","szürke","1","M",7
15207,"Kardigán","barna","1","M",6
15232,"Top","sárga","1","M",1
15232,"Top","fehér","1","M",2
15234,"Tunika","sárga","1","M",3
15234,"Tunika","fehér","1","M",6
15234,"Tunika","lazac","1","M",1
15237,"Pulóver","s.kék","1","M",29
15237,"Pulóver","barna","1","M",8
15237,"Pulóver","antracit","1","M",8
15238,"Pulóver","s.kék","1","M",27
15239,"Pulóver","s.kék","1","M",26
15239,"Pulóver","fekete","1","M",9
15240,"Mellény","piros","1","M",3
15240,"Mellény","fuxia (ciklámen)","1","M",5
15242,"Kardigán","piros","1","M",3
15242,"Kardigán","fixia","1","M",1
15243,"Pulóver","piros","1","M",5
15243,"Pulóver","k.kék","1","M",7
15243,"Pulóver","s.kék","1","M",5
15244,"Pulóver","piros","1","M",8
15244,"Pulóver","k.kék","1","M",8
15245,"Pulóver","k.kék","1","M",11
15247,"Pulóver","s.kék","1","M",2
15248,"Ruha","pink","1","M",2
15248,"Ruha","sárga","1","M",6
15249,"Kardigán","sárga","1","M",5
15249,"Kardigán","pink","1","M",4
15250,"Póló","sárga","1","M",3
15250,"Póló","pink","1","M",1
15251,"Póló","pink","1","M",1
15252,"Ruha","fekete","1","M",1
15253,"Kardigán","fekete","1","M",2
15265,"Top","rózsa/narancs","1","M",1
15272,"Póló","mustár","1","M",10
15272,"Póló","lila","1","M",14
15275,"Ruha","pink","1","M",1
15275,"Ruha","szürke","1","M",3
15277,"Póló","szürke","1","M",5
15278,"Top","szürke","1","M",11
15278,"Top","pink","1","M",4
15280,"Top","zöld","1","M",2
15280,"Top","lila","1","M",5
15280,"Top","fuxia","1","M",5
15280,"Top","ecrü","1","M",1
15281,"Póló","zöld","1","M",2
15281,"Póló","barna","1","M",2
15282,"Kardigán","barna","1","M",1
15283,"Szoknya","zöld","1","M",3
15283,"Szoknya","lazac","1","M",1
15283,"Szoknya","türkiz","1","M",3
15283,"Szoknya","barna","1","M",1
15283,"Szoknya","barna","1","M",2
15285,"Top","kék","1","M",15
15285,"Top","zöld","1","M",1
15285,"Top","lazac","1","M",15
15285,"Top","barna","1","M",13
15285,"Top","beige","1","M",4
15286,"Pulóver","v.szürke","1","M",4
15287,"Pulóver","karamell","1","M",7
15287,"Pulóver","v.szürke","1","M",5
15288,"Pulóver","szürke/narancs","1","M",3
15288,"Pulóver","szürke/rózsaszín","1","M",3
15291,"Ruha","sárga","1","M",4
15291,"Ruha","kék","1","M",1
15291,"Ruha","zöld","1","M",2
15292,"Kardigán","sárga","1","M",1
15292,"Kardigán","kék","1","M",1
15292,"Kardigán","zöld","1","M",1
15295,"Top","fehér","1","M",1
15298,"Kardigán","barna","1","M",1
15303,"Ingmellény","piros","1","M",4
15304,"Póló","kék","1","M",2
15305,"Kardigán","fehér","1","M",1
15305,"Kardigán","lila","1","M",1
15473,"Pulóver","ecrü","1","M",2
15473,"Pulóver","k.szürke","1","M",2
15473,"Pulóver","v.szürke","1","M",12
15473,"Pulóver","s.szürke","1","M",4
15485,"Top","fehér/türkiz","1","M",1
15487,"Ruha","fehér/türkiz","1","M",1
15502,"Pulóver","pink","1","M",2
15502,"Pulóver","zöld","1","M",3
15506,"Ruha","fehér","1","M",3
15507,"Top","fehér","1","M",2
15508,"Szoknya","sárga","1","M",1
15508,"Szoknya","fehér","1","M",4
15510,"Szoknya","piros","1","M",1
15515,"Ruha","mustár","1","M",3
15515,"Ruha","sárga/barna/beige","1","M",1
15550,"Pulóver","barna/narancs","1","M",5
15550,"Pulóver","szürke/kék","1","M",1
15550,"Pulóver","k.kék/v.kék","1","M",1
15550,"Pulóver","barna/zöld","1","M",1
15550,"F.Pulóver","kék","1","M",7
15551,"Pulóver","szürke/kék","1","M",2
15551,"Pulóver","barna/zöld","1","M",1
15551,"Pulóver","barna/narancs","1","M",2
15551,"F.Pulóver","kék","1","M",9
15552,"Pulóver","bordó","1","M",7
15563,"Pulóver","k.kék","1","M",1
15563,"Pulóver","s.barna","1","M",9
15563,"Pulóver","bordó","1","M",1
15563,"N.Pulóver","piros","1","M",9
15563,"N.Pulóver","bordó","1","M",3
15563,"N.Pulóver","zöld","1","M",9
15563,"N.Pulóver","v.barna","1","M",3
15563,"N.Pulóver","v.szürke","1","M",8
15563,"N.Pulóver","s.kék","1","M",8
15563,"N.Pulóver","v.kék","1","M",10
15563,"N.Pulóver","k.kék","1","M",8
15564,"Pulóver","s.kék","1","M",5
15564,"Pulóver","v.szürke","1","M",2
15566,"Pulóver","szürke","1","M",9
15567,"Mellény","s.kék","1","M",4
15568,"Garbó","v.kék (farmer)","1","M",7
15568,"Garbó","k.kék (antra)","1","M",8
15568,"Garbó","fekete","1","M",9
15568,"Garbó","s.kék","1","M",15
15568,"Garbó","zöld","1","M",5
15568,"Garbó","barna","1","M",5
15568,"Garbó","s.szürke","1","M",9
15569,"Garbó","piros","1","M",2
15569,"Garbó","k.kék","1","M",7
15569,"Garbó","s.kék","1","M",3
15569,"Garbó","fekete","1","M",3
15569,"Garbó","f.kék","1","M",4
15569,"Garbó","s.lila","1","M",1
15596,"Mellény","szürke","1","M",8
15596,"Mellény","fekete","1","M",11
15596,"Mellény","bordó","1","M",2
15596,"Mellény","f.kék","1","M",2
15596,"Mellény","s.kék","1","M",2
15596,"Mellény","bordó","1","M",2
15596,"Mellény","bordó","1","M",8
15596,"Mellény","s.kék","1","M",2
15596,"Mellény","s.kék","1","M",6
15596,"Mellény","barna","1","M",4
15596,"Mellény","v.kék","1","M",7
15596,"Mellény","bordó","1","M",8
15596,"Mellény","k.kék","1","M",5
15597,"Pulóver","s.kék","1","M",22
15597,"Pulóver","szürke","1","M",18
15599,"Pulóver","s.kék","1","M",22
15633,"Ruha","kék/piros","1","M",2
15633,"Ruha","szürke/piros","1","M",3
15633,"Ruha","fekete/piros","1","M",1
15633,"Ruha","szürke/bordó","1","M",10
15633,"Ruha","kék/piros","1","M",10
15633,"Ruha","szürke/bordó","1","M",18
15633,"Ruha","szürke/bordó","1","M",7
15633,"Ruha","kék/piros","1","M",5
15633,"Ruha","barna/narancs","1","M",1
15634,"Tunika","sárga","1","M",1
15634,"Tunika","piros","1","M",1
15634,"Tunika","s.kék (f)","1","M",3
15634,"Tunika","fekete","1","M",6
15634,"Tunika","f.kék","1","M",5
15635,"Pulóver","k.kék","1","M",3
15636,"Szoknya","sárga","1","M",5
15636,"Szoknya","s.zöld","1","M",3
15636,"Szoknya","s.kék","1","M",10
15636,"Szoknya","fekete","1","M",20
15636,"Szoknya","bordó","1","M",8
15636,"Szoknya","piros","1","M",9
15636,"Szoknya","v.kék","1","M",9
15636,"Szoknya","lila","1","M",7
15636,"Szoknya","barna","1","M",6
15636,"Szoknya","szürke","1","M",9
15636,"Szoknya","fekete","1","M",9
15638,"Szoknya","fekete/sárga","1","M",4
15638,"Szoknya","f.kék/v.kék","1","M",4
15638,"Szoknya","k.kék/fekete","1","M",4
15638,"Szoknya","s.kék/v.kék","1","M",8
15639,"Ruha","v.kék","1","M",3
15639,"Ruha","k.kék","1","M",4
15639,"Ruha","s.kék","1","M",6
15639,"Ruha","bordó","1","M",2
15639,"Ruha","s.barna","1","M",4
15639,"Ruha","narancs","1","M",14
15639,"Ruha","k.szürke","1","M",3
15639,"Ruha","antracit","1","M",2
15639,"Ruha","mogyoró","1","M",1
15639,"Ruha","k.kék","1","M",3
15640,"Szoknya","kék/s.kék","1","M",1
15641,"Szoknya","sárga/barna","1","M",1
15641,"Szoknya","kék/s.kék","1","M",2
15642,"Szoknya","sárga/barna","1","M",2
15642,"Szoknya","kék/f.kék","1","M",1
15642,"Szoknya","s.kék/k.kék","1","M",2
15643,"Szoknya","sárga/barna","1","M",2
15643,"Szoknya","kék/s.kék","1","M",3
15643,"Szoknya","piros/fekete","1","M",1
15643,"Szoknya","fekete/fehér","1","M",1
15644,"Szoknya","kék/s.kék","1","M",2
15644,"Szoknya","piros/fekete","1","M",1
15644,"Szoknya","fekete/fehér","1","M",1
15644,"Szoknya","s.szürke/v.szürke","1","M",3
15644,"Szoknya","kék/bordó","1","M",4
15644,"Szoknya","barna/narancs","1","M",4
15655,"Pulóver","k.kék (farmer)","1","M",2
15655,"Pulóver","s.zöld","1","M",1
15655,"F.Pulóver","v.kék","1","M",20
15655,"F.Pulóver","zöld","1","M",1
15655,"F.Pulóver","barna","1","M",16
15655,"F.Pulóver","v.kék","1","M",6
15655,"F.Pulóver","k.kék","1","M",16
15657,"Póló","s.kék","1","M",11
15657,"Póló","beige","1","M",2
15657,"Póló","szürke/zöld","1","M",3
15657,"Póló","szürke","1","M",2
15657,"Póló","fehér","1","M",8
15657,"Póló","s.kék","1","M",4
15657,"Póló","kék/piros-fehér","1","M",4
15657,"Póló","szürke csíkos","1","M",3
15657,"Póló","kék/szürke","1","M",3
15659,"Póló","s.kék/k.kék-fehér","1","M",5
15672,"F.Pulóver","s.kék","1","M",10
15672,"F.Pulóver","piros","1","M",4
15672,"F.Pulóver","f.kék","1","M",4
15672,"F.Pulóver","s.barna","1","M",5
15672,"F.Pulóver","v.barna","1","M",5
15672,"F.Pulóver","narancs","1","M",5
15673,"F.Pulóver","s.kék","1","M",3
15673,"F.Pulóver","s.barna","1","M",5
15675,"N.Póló","mustár","1","M",3
15675,"N.Póló","lazac","1","M",3
15675,"Top","rózsa","1","M",5
15675,"Top","sárga","1","M",3
15675,"Póló","zöld","1","M",7
15677,"Ruha","narancs","1","M",7
15677,"Ruha","zöld","1","M",8
15678,"Póló","kockás","1","M",1
15678,"Póló","fehér","1","M",3
15678,"Top","v.kék","1","M",2
15678,"Top","narancs","1","M",1
15678,"Top","zöld","1","M",1
15678,"Top","s.barna csíkos","1","M",2
15678,"Top","v.barna síkos","1","M",1
15680,"Pulóver SF","v.kék","1","M",1
15680,"Pulóver SF","s.szürke","1","M",2
15680,"Pulóver SF","s.kék (antra)","1","M",2
15680,"F.Pulóver","s.kék","1","M",11
15680,"F.Pulóver","szürke","1","M",3
15681,"F.Pulóver","szürke","1","M",2
15681,"F.Pulóver","s.kék","1","M",7
15681,"F.Pulóver","kék","1","M",1
15681,"F.Pulóver","szürke","1","M",5
15683,"Ruha","kék/bordó","1","M",2
15683,"Ruha","szürke/kék","1","M",2
15683,"Ruha","barna/narancs","1","M",2
15683,"Ruha","kék/bordó","1","M",13
15683,"Ruha","szürke/kék","1","M",5
15683,"Ruha","barna/narancs","1","M",6
15683,"Ruha","barna/narancs","1","M",10
15685,"N.Pulóver","bordó","1","M",7
15685,"N.Pulóver","zöld","1","M",5
15685,"N.Pulóver","s.kék","1","M",10
15685,"N.Pulóver","fehér","1","M",7
15685,"N.Pulóver","szürke","1","M",5
15693,"N.Pulóver","türkiz","1","M",1
15693,"N.Pulóver","piros","1","M",1
15693,"N.Pulóver","szürke","1","M",1
15693,"N.Pulóver","piros","1","M",2
15693,"N.Pulóver","szürke","1","M",6
15693,"N.Pulóver","s.kék","1","M",18
15693,"Pulóver","v.kék","1","M",1
15693,"N.Pulóver","piros","1","M",3
15694,"N.Pulóver","s.kék","1","M",1
15694,"N.Pulóver","zöld","1","M",10
15694,"N.Pulóver","barna","1","M",5
15694,"N.Pulóver","s.kék","1","M",4
15695,"N.Pulóver","ecrü","1","M",1
15695,"N.Pulóver","zöld","1","M",5
15695,"N.Pulóver","narancs","1","M",5
