"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
28,15473,"Pulóver","s.szürke",1,"XL"
2,15473,"Pulóver","v.szürke",1,"2XL"
3,15473,"Pulóver","v.szürke",1,"3XL"
70,15473,"Pulóver","v.szürke",1,"L"
12,15473,"Pulóver","v.szürke",1,"M"
6,15473,"Pulóver","v.szürke",1,"S"
50,15473,"Pulóver","v.szürke",1,"XL"
7,15474,"Pulóver","ecrü",1,"2XL"
30,15474,"Pulóver","ecrü",1,"L"
48,15474,"Pulóver","ecrü",1,"XL"
1,15474,"Pulóver","fekete",1,"3XL"
51,15474,"Pulóver","fekete",1,"L"
66,15474,"Pulóver","fekete",1,"XL"
20,15474,"Pulóver","piros",1,"L"
24,15474,"Pulóver","piros",1,"XL"
8,15474,"Pulóver","piros",2,"L"
3,15474,"Pulóver","piros",2,"M"
1,15474,"Pulóver","s.kék",1,"XL"
1,15474,"Pulóver","s.szürke",1,"2XL"
3,15474,"Pulóver","s.szürke",1,"3XL"
28,15474,"Pulóver","s.szürke",1,"L"
33,15474,"Pulóver","s.szürke",1,"XL"
1,15482,"Ruha","rózsa/lazac",2,"S"
1,15485,"Top","fehér/türkiz",1,"M"
1,15485,"Top","fehér/türkiz",1,"S"
1,15485,"Top","fehér/türkiz",1,"XL"
1,15485,"Top","fehér",2,"XS"
1,15486,"Kardign","fehér/türkiz",2,"M"
1,15487,"Ruha","fehér/türkiz",1,"M"
3,15487,"Ruha","fehér/türkiz",1,"S"
1,15487,"Ruha","fehér/türkiz",1,"XS"
1,15487,"Ruha","fehér/türkiz",2,"S"
1,15502,"Pulóver","pink",1,"L"
2,15502,"Pulóver","pink",1,"M"
2,15502,"Pulóver","pink",1,"S"
1,15502,"Pulóver","pink",1,"XL"
3,15502,"Pulóver","zöld",1,"M"
3,15502,"Pulóver","zöld",1,"S"
